year,month,state,gender,value
2034,October,Uttarakhand,Total,5310
2034,October,Uttarakhand,Male,2818
2034,October,Uttarakhand,Female,2491
2034,October,Uttar Pradesh,Total,66034
2034,October,Uttar Pradesh,Male,34865
2034,October,Uttar Pradesh,Female,31169
2034,October,Tripura,Total,2367
2034,October,Tripura,Male,1199
2034,October,Tripura,Female,1167
2034,October,Telangana,Total,22154
2034,October,Telangana,Male,11149
2034,October,Telangana,Female,11004
2034,October,Tamil Nadu,Total,46036
2034,October,Tamil Nadu,Male,23018
2034,October,Tamil Nadu,Female,23018
2034,October,Sikkim,Total,542
2034,October,Sikkim,Male,283
2034,October,Sikkim,Female,259
2034,October,Rajasthan,Total,25315
2034,October,Rajasthan,Male,13226
2034,October,Rajasthan,Female,12089
2034,October,Punjab,Total,14979
2034,October,Punjab,Male,7989
2034,October,Punjab,Female,6990
2034,October,Puducherry,Total,1520
2034,October,Puducherry,Male,744
2034,October,Puducherry,Female,776
2034,October,Odisha,Total,10253
2034,October,Odisha,Male,5307
2034,October,Odisha,Female,4946
2034,October,Nagaland,Total,1520
2034,October,Nagaland,Male,797
2034,October,Nagaland,Female,723
2034,October,Mizoram,Total,781
2034,October,Mizoram,Male,391
2034,October,Mizoram,Female,390
2034,October,Meghalaya,Total,775
2034,October,Meghalaya,Male,387
2034,October,Meghalaya,Female,388
2034,October,Manipur,Total,1250
2034,October,Manipur,Male,617
2034,October,Manipur,Female,633
2034,October,Maharashtra,Total,70207
2034,October,Maharashtra,Male,36893
2034,October,Maharashtra,Female,33314
2034,October,Madhya Pradesh,Total,29260
2034,October,Madhya Pradesh,Male,15256
2034,October,Madhya Pradesh,Female,14005
2034,October,Lakshadweep,Total,71
2034,October,Lakshadweep,Male,37
2034,October,Lakshadweep,Female,34
2034,October,Ladakh,Total,126
2034,October,Ladakh,Male,82
2034,October,Ladakh,Female,43
2034,October,Kerala,Total,34992
2034,October,Kerala,Male,16735
2034,October,Kerala,Female,18258
2034,October,Karnataka,Total,35822
2034,October,Karnataka,Male,18249
2034,October,Karnataka,Female,17574
2034,October,Jharkhand,Total,12553
2034,October,Jharkhand,Male,6572
2034,October,Jharkhand,Female,5981
2034,October,Jammu and Kashmir,Total,4912
2034,October,Jammu and Kashmir,Male,2660
2034,October,Jammu and Kashmir,Female,2253
